time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars
1775062140,24320.25,24326,24319.5,24323.75,0,0,0,0,0,0
1775062200,24325,24330.75,24325,24326.75,0,0,0,0,0,0
1775062260,24326.75,24329,24321.5,24325,0,0,0,0,0,0
1775062320,24324.75,24326.5,24321,24322.5,0,0,0,0,0,0
1775062380,24321.75,24327.25,24321.75,24324.75,0,0,0,0,0,0
1775062440,24324,24328.75,24324,24326,0,0,0,0,0,0
1775062500,24325.25,24325.5,24316.75,24318.25,0,0,0,0,0,0
1775062560,24317.75,24326,24317.25,24324,0,0,0,0,0,0
1775062620,24324.5,24328.5,24323.75,24325.75,0,0,0,0,0,0
1775062680,24326.25,24328.5,24322.75,24324,0,0,0,0,0,0
1775062740,24324.25,24324.25,24318.75,24318.75,0,0,0,0,0,0
1775062800,24319.75,24321.75,24314.25,24319.5,0,0,0,0,0,0
1775062860,24319.75,24325,24317.75,24319.5,0,0,0,0,0,0
1775062920,24320,24325.5,24319.25,24324.25,0,0,0,0,0,0
1775062980,24324,24339.75,24323.75,24338.25,0,0,0,0,0,0
1775063040,24338.5,24348.25,24334.25,24341.25,0,0,0,0,0,0
1775063100,24341.25,24344.5,24339,24342.5,0,0,0,0,0,0
1775063160,24342.75,24348,24338.75,24340.75,0,0,0,0,0,0
1775063220,24340.25,24345.25,24337.5,24343.75,0,0,0,0,0,0
1775063280,24343.75,24345.75,24338.75,24341.75,0,0,0,0,0,0
1775063340,24341.25,24342.75,24335.75,24338.25,0,0,0,0,0,0
1775063400,24338.5,24345.25,24338,24342.5,0,0,0,0,0,0
1775063460,24343,24344,24336.75,24339,0,0,0,0,0,0
1775063520,24338.75,24341.75,24335.75,24337.75,0,0,0,0,0,0
1775063580,24337.75,24341.5,24335,24338.25,0,0,0,0,0,0
1775063640,24338.5,24343,24338,24342,0,0,0,0,0,0
1775063700,24342,24346.75,24342,24343.5,0,0,0,0,0,0
1775063760,24343,24345,24338.75,24340,0,0,0,0,0,0
1775063820,24339.75,24343.5,24337.25,24342,0,0,0,0,0,0
1775063880,24341.75,24342.25,24336.75,24338.75,0,0,0,0,0,0
1775063940,24338.5,24340.25,24335.25,24339,0,0,0,0,0,0
1775064000,24338.5,24345.5,24338.25,24341.25,0,0,0,0,0,0
1775064060,24340.75,24345.75,24338.5,24343,0,0,0,0,0,0
1775064120,24343,24345,24336.25,24338.25,0,0,0,0,0,0
1775064180,24338.25,24339.5,24330.25,24336.5,0,0,0,0,0,0
1775064240,24336.5,24341.75,24333.25,24338.5,0,0,0,0,0,0
1775064300,24338.75,24339,24335.5,24339,0,0,0,0,0,0
1775064360,24339,24340,24334.25,24334.5,0,0,0,0,0,0
1775064420,24334.75,24336,24329,24336,0,0,0,0,0,0
