Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-10-06 03:05,TP,25098.25,1,50178,17.26,0.03,17.88,0.04,-88.62,-0.18,16.64,0.17
1,Entry long,2025-10-06 02:25,DCA L [C],25089,1,50178,17.26,0.03,17.88,0.04,-88.62,-0.18,16.64,0.17
2,Exit long,2025-10-06 03:05,TP,25098.25,1,50174.5,20.76,0.04,21.38,0.04,-85.12,-0.17,38.02,0.38
2,Entry long,2025-10-06 02:26,DCA L [C],25087.25,1,50174.5,20.76,0.04,21.38,0.04,-85.12,-0.17,38.02,0.38
3,Exit short,2025-10-06 03:11,TP,25101.5,1,50223,18.76,0.04,19.38,0.04,-3.62,-0.01,56.78,0.57
3,Entry short,2025-10-06 03:09,DCA S [C],25111.5,1,50223,18.76,0.04,19.38,0.04,-3.62,-0.01,56.78,0.57
4,Exit long,2025-10-06 03:57,TP,25108.25,1,50196.5,18.76,0.04,19.38,0.04,-4.12,-0.01,75.54,0.76
4,Entry long,2025-10-06 03:52,DCA L [C],25098.25,1,50196.5,18.76,0.04,19.38,0.04,-4.12,-0.01,75.54,0.76
5,Exit short,2025-10-06 05:46,$ STOP,25146.25,1,50217,-76.74,-0.15,8.38,0.02,-76.12,-0.15,-4.3,-0.04
5,Entry short,2025-10-06 04:08,DCA S [C],25108.5,1,50217,-76.74,-0.15,8.38,0.02,-76.12,-0.15,-4.3,-0.04
6,Exit short,2025-10-06 05:46,$ STOP,25146.25,1,50228.5,-65.24,-0.13,0.38,0.00,-64.62,-0.13,-68.92,-0.69
6,Entry short,2025-10-06 04:20,DCA S [C],25114.25,1,50228.5,-65.24,-0.13,0.38,0.00,-64.62,-0.13,-68.92,-0.69
7,Exit short,2025-10-06 05:46,$ STOP,25146.25,1,50247.5,-46.24,-0.09,5.38,0.01,-45.62,-0.09,-114.54,-1.15
7,Entry short,2025-10-06 04:29,DCA S [C],25123.75,1,50247.5,-46.24,-0.09,5.38,0.01,-45.62,-0.09,-114.54,-1.15
